Set,Subset,Device_ID,X,Y
1,1,0,47.53571532049581,57.80093202212183
1,1,1,80.05575058716045,98.49549260809971
1,1,2,93.30880728874675,51.029224714790125
1,1,3,65.21211214797688,21.597250932105787
1,1,4,18.727005942368123,79.93292420985183
1,1,5,10.616955533913808,9.17022549267169
1,1,6,41.622132040021086,9.091248360355031
1,1,7,52.90418060840997,85.40362888980228
1,1,8,36.59969709057025,57.79972601681013
1,1,9,76.2378215816119,14.561457009902096
1,2,0,98.26276536320691,0.7818203370596966
1,2,1,59.11180438940312,51.56566462277793
1,2,2,46.33294328968971,48.058601217467455
1,2,3,80.49983288913104,87.76807051588263
1,2,4,69.55303037866204,78.38501639099957
1,2,5,47.11008778424264,62.05127330130058
1,2,6,76.98460661945398,14.81367528520412
1,2,7,22.52496259847715,50.79831261101071
1,2,8,91.65974558680821,71.25779372456223
1,2,9,28.164410892276965,84.16317594127291
1,2,10,36.36359979282104,42.22669243390757
1,2,11,19.75751180009072,26.041713001291182
1,2,12,87.36600550686904,13.799959101127168
1,2,13,79.33755828319241,8.263346953150124
1,2,14,80.35171238433423,21.170074035318482
1,2,15,0.6632480579933264,61.54469128110745
1,2,16,42.11423872974993,16.32703844029177
1,2,17,58.6682326753886,60.39708314340944
1,2,18,22.487706668488283,28.52219872026997
1,2,19,34.015376929388985,69.2708251269958
1,3,0,55.39457134966522,87.77755692715243
1,3,1,16.259166101337353,78.06385987847482
1,3,2,70.51914615178148,81.67018782552117
1,3,3,40.18360384495573,5.502596226383838
1,3,4,75.42853455823514,58.06106436270022
1,3,5,26.967112095782536,40.90073829612466
1,3,6,62.464611457443745,90.40601897822086
1,3,7,70.87055015743894,35.15094794475889
1,3,8,9.328502944301793,11.396758127097083
1,3,9,5.9797122969150855,51.27095633720476
1,3,10,81.82052056318902,53.84899549143965
1,3,11,95.37832369630465,96.48488261712865
1,3,12,36.480308916903205,88.54835899772806
1,3,13,23.610746258097464,71.37705091792748
1,3,14,44.36063712881633,76.1366414690997
1,3,15,51.57145928433671,61.43990827458112
1,3,16,65.71779905381634,64.4875726456884
1,3,17,44.80456499617466,0.34760652655953517
1,3,18,44.627949924498886,21.355389431312815
1,3,19,3.177917514301182,85.66223936114974
1,3,20,97.14548519562595,12.589114791268209
1,3,21,40.372007758203125,43.036529162817175
1,3,22,55.99326836668414,48.589104136048036
1,3,23,15.54911608578311,88.03925243084487
1,3,24,61.105390523536514,18.1814801189647
1,3,25,66.8807585701814,48.122364747105564
1,3,26,75.53736512887829,25.939531087168305
1,3,27,66.16014660103777,24.86242529461927
1,3,28,31.877873567760656,74.68977981821953
1,3,29,43.57302950938588,15.900173748593193
1,4,0,8.040402570874933,42.4611705247089
1,4,1,16.03900324858679,84.5468869051233
1,4,2,82.99920230170895,67.46047873063304
1,4,3,76.48252891780032,94.35432121325587
1,4,4,89.74056517708243,47.02292921764572
1,4,5,62.89708138575778,66.95148955243504
1,4,6,62.092614545022585,88.99377729288119
1,4,7,9.325925519992712,69.33676731502686
1,4,8,29.54464715941209,56.87604720729966
1,4,9,2.038757077738196,96.83649943683673
1,4,10,93.86696766904905,81.65507286366339
1,4,11,0.8293914463928076,55.67367606202946
1,4,12,95.02090285816652,58.08143570473069
1,4,13,94.60232775885567,32.27361479535839
1,4,14,32.59806297513003,4.683738391404624
1,4,15,98.65052773762227,14.03861812204279
1,4,16,94.86078789766634,54.206998249752445
1,4,17,0.25307919231093434,32.48164495236073
1,4,18,4.514488502720415,82.25863952047249
1,4,19,77.76004057997312,94.85551299762886
1,4,20,27.436689468329305,32.88064461501717
1,4,21,90.8611100100608,86.29778394351197
1,4,22,33.87821809211412,67.05331755251292
1,4,23,75.1318546552596,47.696428850129365
1,4,24,30.321452982979498,35.6089610673768
1,4,25,25.60465291496405,96.23468091392814
1,4,26,33.17508845540279,37.32457025590121
1,4,27,54.65513839029496,82.10158230771438
1,4,28,41.7651247794619,58.718321450249576
1,4,29,26.788734203737924,61.3247887598969
1,4,30,0.4598525808314824,11.862454374840004
1,4,31,63.26011838408627,9.762149389902225
1,4,32,44.927709426353964,11.21346547302799
1,4,33,62.19948216895418,36.12260576307526
1,4,34,78.84519423131795,45.743219511022424
1,4,35,68.38579015297168,24.625884690943195
1,4,36,34.59475988463466,28.415430166773582
1,4,37,5.0735771433016055,16.269984907963387
1,4,38,81.55693129986315,8.855533970352447
1,4,39,69.65488623333802,1.215798321572692
1,5,0,37.892305523218454,21.692582461898652
1,5,1,25.56711994304689,77.13223173537884
1,5,2,42.77302920055036,18.73063073132356
1,5,3,51.32556552708109,9.789556739464821
1,5,4,92.82449205941612,27.280839465796745
1,5,5,66.1478236470623,77.46133323530603
1,5,6,98.79260397312673,57.8218521335543
1,5,7,20.980003121389494,24.58079375584162
1,5,8,86.30456668613309,58.66471600354229
1,5,9,35.098343862885166,51.86740943746072
1,5,10,82.93468158094726,47.07324043882626
1,5,11,69.4084963103261,4.72214803779642
1,5,12,52.58408605843039,98.13242073389625
1,5,13,45.66202762782356,73.27990090662301
1,5,14,54.2673732496884,51.267537170772876
1,5,15,12.386549475057873,23.673588539028284
1,5,16,36.89484583478843,35.18289296900118
1,5,17,1.7971136898371043,81.14452379095002
1,5,18,78.77370889379395,0.9110912825774864
1,5,19,28.9140070498087,60.791051374842155
1,5,20,17.798633932563078,8.660093495500758
1,5,21,75.15681292900439,22.912644524575832
1,5,22,27.717702625570034,23.70869145436626
1,5,23,81.87149507491033,70.44764722071349
1,5,24,81.29299578571182,32.16441092211766
1,5,25,76.5677315784074,91.79900602561028
1,5,26,2.0364401159485066,2.265200488602226
1,5,27,97.01151207124788,5.038900068871333
1,5,28,25.07581473435998,64.32706260641422
1,5,29,63.54161256310371,83.00986883588656
1,5,30,16.89975784257679,56.35302563259424
1,5,31,32.49819653888826,51.52501249695247
1,5,32,58.14672135407149,19.305131890038712
1,5,33,75.81501741505977,62.512144908229764
1,5,34,71.9485710352818,63.99669484729714
1,5,35,2.3001321010876374,31.75468254338219
1,5,36,82.12096391031578,45.26753209780318
1,5,37,4.69909699204345,88.49967765493054
1,5,38,39.91475894833876,79.54166302845053
1,5,39,39.789633471805054,91.13002803298292
1,5,40,0.7196744314877934,19.92523671986867
1,5,41,53.52843737002149,48.05952819119571
1,5,42,18.7791476319972,76.11216300274022
1,5,43,79.28877906367316,3.4680650437582727
1,5,44,30.58603731171761,4.891708032550074
1,5,45,44.50026709087832,68.00953207056314
1,5,46,53.922819067113295,97.7432640331597
1,5,47,77.03175608050532,84.7987103046849
1,5,48,89.75930973843518,85.72979613500311
1,5,49,5.803632025345812,30.792504902610823
2,1,0,33.83849522121516,54.16422055976298
2,1,1,86.85177783955044,35.29157419393473
2,1,2,47.84004425632282,74.65128288859025
2,1,3,54.58520736292405,60.63639475121145
2,1,4,46.546455284364626,49.79656210151646
2,1,5,5.6732301008724,48.71241042672051
2,1,6,77.68515261729004,89.06480252356013
2,1,7,80.12204629505595,97.30972714408452
2,1,8,17.74525952313603,74.12604748213212
2,1,9,52.7935577338675,27.295788508249448
2,2,0,77.92021248679025,50.567682238370956
2,2,1,2.8151637840918675,29.168438254857982
2,2,2,35.31211135782481,68.53210735334454
2,2,3,4.241885704259596,97.36242886919294
2,2,4,93.42995640947302,2.1579955975288057
2,2,5,5.940895813403596,48.10862742372709
2,2,6,68.81297927654579,95.3177192547368
2,2,7,54.17503583493344,55.559874115307565
2,2,8,98.49394133538195,3.689828236769943
2,2,9,23.433032099706313,37.30224396327117
2,2,10,87.66890926294708,71.21110046234881
2,2,11,49.33197892505877,99.30005319114355
2,2,12,61.17979192597263,44.557155684903556
2,2,13,5.876312338855244,18.743528976185203
2,2,14,41.09300296451781,68.71353978780601
2,2,15,88.85734579637185,74.63125521454296
2,2,16,32.460515105803175,14.285604314093037
2,2,17,98.16112697203056,26.385055454314994
2,2,18,50.60772373449082,49.64823980596502
2,2,19,4.067439032094988,90.63997836287513
2,3,0,86.3060422035924,10.361382450402823
2,3,1,6.69260594003166,29.257476616273596
2,3,2,56.65925626118749,77.5793936272035
2,3,3,28.454073458287382,26.717313751473153
2,3,4,63.547882125756495,93.83307429628964
2,3,5,70.83195288692396,88.88011418676128
2,3,6,16.78300323984816,72.66204234144155
2,3,7,11.469737285247483,80.13909410116493
2,3,8,32.34241808343619,63.988175358447286
2,3,9,19.41341919949361,70.56033604360931
2,3,10,60.25226642532625,13.433624101265368
2,3,11,53.81001897995816,58.241713056850045
2,3,12,19.72608993040649,68.01725476026341
2,3,13,79.05813105904132,74.01850409331773
2,3,14,41.45821103532572,34.5857198584456
2,3,15,3.175591479500067,37.495537473498594
2,3,16,68.89252746378932,37.849956608611436
2,3,17,95.95882759177798,99.26430253327521
2,3,18,54.137421001765304,68.83694849689704
2,3,19,37.4789149988036,0.6835982413498642
